# Report: District Profiles 2021
# Source: Census and Statistics Department (C&SD)
# Date Generated: 2024-05-12
# Classification: Public
District_ID,Region_Zone,District_Name,Total_Pop,M_Pop_Total,M_Pop_25_39,F_Pop_Total,stat_var_01_unemp,stat_var_05_poverty,clinical_risk_idx,avg_household_size
A01,HK_ISL,Central & Western,235953,108220,22000,127733,2.1,8.5,6.5,2.6
A02,HK_ISL,Wan Chai,166695,75982,15000,90713,2.0,7.0,6.2,2.5
A03,HK_ISL,Eastern,529613,243110,45000,286503,3.2,15.0,9.8,2.8
A04,HK_ISL,Southern,263863,119820,25000,144043,2.8,11.5,8.0,2.9
B01,KWL,Yau Tsim Mong,310204,148201,39000,162003,3.5,19.5,11.0,2.4
B02,KWL,Sham Shui Po,431090,205110,48000,225980,4.5,26.5,13.9,2.5
B03,KWL,Kowloon City,410634,189200,35000,221434,2.7,13.0,8.5,2.7
B04,KWL,Wong Tai Sin,406802,185002,36000,221800,3.6,21.8,11.2,2.8
B05,KWL,Kwun Tong,673166,315000,55000,358166,4.8,28.0,14.4,2.9
C01,NT,Kwai Tsing,495798,235111,41000,260687,3.9,22.1,12.1,2.8
C02,NT,Tsuen Wan,320094,151000,29000,169094,2.5,11.0,7.9,2.8
C03,NT,Tuen Mun,506879,241000,43000,265879,3.8,21.5,11.9,2.8
C04,NT,Yuen Long,668080,314000,52000,354080,4.1,23.0,12.8,2.9
C05,NT,North,309631,148000,38000,161631,3.7,20.0,11.5,2.8
C06,NT,Tai Po,316470,149500,28000,166970,2.6,12.5,8.1,2.9
C07,NT,Sha Tin,692806,328000,58000,364806,3.1,14.5,9.5,3.0
C08,NT,Sai Kung,489037,230000,40000,259037,2.9,12.0,8.2,3.1
C09,NT,Islands,185282,88000,12000,97282,2.2,10.0,7.0,2.7
ALL,ALL,Total / Average,7413000,3400000,660000,4013000,3.4,16.5,9.8,2.8
